models,ROC_0,f2_score,ROC_1,precision,f1_score,accuracy,recall
base_train,0.0002,0.9933,0.9998,0.996,0.9943,0.997,0.9926
base_train_FT,0.0489,0.7063,0.9511,0.7961,0.7375,0.8703,0.687
SMOTE_train,0.0003,0.9948,0.9997,0.9927,0.994,0.9968,0.9953
SMOTE_train_FT,0.0481,0.9151,0.9519,0.8579,0.8928,0.8883,0.9307
ADASYN_train,0.0002,0.9952,0.9998,0.992,0.994,0.9968,0.996
ADASYN_train_FT,0.0006,0.9904,0.9994,0.9565,0.9774,0.9771,0.9993
RandomOverSampler_train,0.0002,0.9953,0.9998,0.99,0.9933,0.9965,0.9967
RandomOverSampler_train_FT,0.0001,0.9977,0.9999,0.9942,0.9964,0.9964,0.9986
BorderlineSMOTE_train,0.0003,0.9952,0.9997,0.992,0.994,0.9968,0.996
BorderlineSMOTE_train_FT,0.0488,0.927,0.9512,0.8296,0.8879,0.8794,0.9551
SVMSMOTE_train,0.0003,0.9952,0.9997,0.992,0.994,0.9968,0.996
SVMSMOTE_train_FT,0.0022,0.9859,0.9978,0.936,0.9666,0.9655,0.9993
KMeansSMOTE_train,0.0002,0.9936,0.9998,0.9946,0.994,0.9968,0.9933
KMeansSMOTE_train_FT,0.0349,0.9056,0.9651,0.8858,0.898,0.8966,0.9106
RandomUnderSampler_train,0.0287,0.9141,0.9713,0.6841,0.8118,0.8772,0.998
RandomUnderSampler_train_FT,0.0427,0.9303,0.9573,0.8551,0.9006,0.895,0.9512
NearMiss_train,0.1458,0.7992,0.8542,0.4475,0.6173,0.6727,0.9946
NearMiss_train_FT,0.1054,0.8451,0.8946,0.7343,0.7999,0.7803,0.8783
TomekLinks_train,0.0144,0.9643,0.9856,0.8634,0.9238,0.9565,0.9933
TomekLinks_train_FT,0.0386,0.7815,0.9614,0.8288,0.7986,0.8895,0.7706
ClusterCentroids_train,0.0713,0.8668,0.9287,0.5654,0.7224,0.7961,1.0
ClusterCentroids_train_FT,0.0209,0.9192,0.9791,0.9197,0.9194,0.9194,0.9191
OneSidedSelection_train,0.0146,0.9646,0.9854,0.8688,0.9263,0.9581,0.992
OneSidedSelection_train_FT,0.0376,0.782,0.9624,0.8347,0.801,0.8911,0.7699
EditedNearestNeighbours_train,0.0744,0.8764,0.9256,0.5883,0.7404,0.8142,0.9987
EditedNearestNeighbours_train_FT,0.0,0.9992,1.0,0.9987,0.999,0.9992,0.9993
RepeatedEditedNearestNeighbours_train,0.1115,0.8176,0.8885,0.4727,0.6419,0.7039,1.0
RepeatedEditedNearestNeighbours_train_FT,0.0,1.0,1.0,1.0,1.0,1.0,1.0
AllKNN_train,0.0947,0.85,0.9053,0.5313,0.6939,0.7659,1.0
AllKNN_train_FT,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CondensedNearestNeighbour_train,0.0075,0.9573,0.9925,0.8269,0.9039,0.9437,0.9967
CondensedNearestNeighbour_train_FT,0.1215,0.8333,0.8785,0.7766,0.8111,0.7904,0.8488
SMOTEENN_train,0.107,0.8069,0.893,0.5745,0.7006,0.7964,0.8977
SMOTEENN_train_FT,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SMOTETomek_train,0.0159,0.9431,0.9841,0.9173,0.9333,0.964,0.9498
SMOTETomek_train_FT,0.0002,0.996,0.9998,0.985,0.9918,0.9918,0.9987
